iter	Passed	Remaining
444	1210	1509
445	1212	1506
446	1215	1503
447	1217	1500
448	1220	1497
449	1223	1494
450	1225	1491
451	1228	1489
452	1231	1486
453	1233	1483
454	1236	1480
455	1239	1478
456	1241	1475
457	1244	1472
458	1246	1469
459	1249	1466
460	1252	1463
461	1254	1461
462	1257	1458
463	1260	1455
464	1262	1452
465	1265	1450
466	1268	1447
467	1270	1444
468	1273	1441
469	1276	1438
470	1278	1436
471	1281	1433
472	1284	1430
473	1286	1427
474	1289	1425
475	1292	1422
476	1294	1419
477	1297	1417
478	1300	1414
479	1302	1411
480	1305	1408
481	1308	1405
482	1310	1402
483	1313	1400
484	1315	1397
485	1318	1394
486	1321	1392
487	1324	1389
488	1326	1386
489	1329	1383
490	1332	1381
491	1334	1378
492	1337	1375
493	1339	1372
494	1342	1369
495	1345	1367
496	1347	1364
497	1350	1361
498	1353	1358
499	1355	1355
500	1359	1353
501	1361	1351
502	1364	1348
503	1367	1346
504	1370	1343
505	1373	1340
506	1375	1337
507	1378	1335
508	1381	1332
509	1384	1329
510	1387	1327
511	1389	1324
512	1392	1321
513	1395	1319
514	1397	1316
515	1400	1313
516	1403	1310
517	1406	1308
518	1408	1305
519	1411	1302
520	1413	1299
521	1416	1297
522	1418	1294
523	1421	1291
524	1424	1288
525	1426	1285
526	1429	1283
527	1432	1280
528	1435	1278
529	1438	1275
530	1441	1273
531	1444	1270
532	1447	1267
533	1449	1265
534	1452	1262
535	1455	1259
536	1457	1256
537	1460	1254
538	1463	1251
539	1465	1248
540	1468	1245
541	1470	1243
542	1473	1240
543	1475	1237
544	1478	1234
545	1481	1231
546	1484	1229
547	1487	1226
548	1489	1223
549	1492	1220
550	1494	1218
551	1497	1215
552	1499	1212
553	1502	1209
554	1505	1206
555	1507	1204
556	1510	1201
557	1513	1198
558	1515	1195
559	1518	1193
560	1521	1190
561	1523	1187
562	1526	1185
563	1529	1182
564	1532	1179
565	1534	1176
566	1537	1174
567	1540	1171
568	1542	1168
569	1545	1165
570	1548	1163
571	1550	1160
572	1553	1157
573	1556	1154
574	1558	1152
575	1561	1149
576	1563	1146
577	1566	1143
578	1568	1140
579	1571	1138
580	1574	1135
581	1576	1132
582	1579	1129
583	1581	1126
584	1585	1124
585	1588	1122
586	1591	1119
587	1594	1117
588	1597	1114
589	1599	1111
590	1602	1108
591	1604	1106
592	1607	1103
