iter	Logloss
0	0.676779609
1	0.6636574228
2	0.6494238018
3	0.6383338547
4	0.6300076034
5	0.6145929748
6	0.6061703288
7	0.5972560505
8	0.5925823304
9	0.5837496686
10	0.578429306
11	0.5711048863
12	0.5642724897
13	0.5603025357
14	0.5562759002
15	0.5477762063
16	0.5417464802
17	0.5371390227
18	0.5318718673
19	0.5250881609
20	0.5204334763
21	0.5161839099
22	0.5131849731
23	0.5080567062
24	0.5043091067
25	0.5017723767
26	0.4988012498
27	0.4953315239
28	0.4906800973
29	0.4873019572
30	0.4837749988
31	0.4811636302
32	0.478723504
33	0.4762085645
34	0.474233147
35	0.472222489
36	0.4700004322
37	0.4675023046
38	0.4654724706
39	0.4633820827
40	0.4608404383
41	0.4591356569
42	0.4567969671
43	0.4552455888
44	0.4537409388
45	0.4515847746
46	0.4494565825
47	0.4473744983
48	0.4448670017
49	0.4419618393
50	0.4393079149
51	0.4376501857
52	0.4353564195
53	0.4334640062
54	0.4318560279
55	0.4300262887
56	0.4287251087
57	0.4272403821
58	0.4257353865
59	0.4234972195
60	0.4217446111
61	0.4206845237
62	0.4193409813
63	0.4179411544
64	0.4165655005
65	0.4153282698
66	0.413288388
67	0.4122561365
68	0.4109769248
69	0.4096824431
70	0.4079073268
71	0.4063937159
72	0.4046427704
73	0.4029377222
74	0.4017667911
75	0.4004780166
76	0.3994269552
77	0.3985305952
78	0.3965508857
79	0.3952313043
80	0.3938026358
81	0.3929879568
82	0.3914402146
83	0.3904996317
84	0.3896628787
85	0.388624984
86	0.3875550397
87	0.3867611206
88	0.3852692653
89	0.38461484
90	0.3837146163
91	0.3827139896
92	0.3818853053
93	0.3809834096
94	0.3796312611
95	0.3787609716
96	0.3777587705
97	0.3768728217
98	0.3761730248
99	0.3752998932
100	0.3745242928
101	0.3735046139
102	0.3728407641
103	0.3721383977
104	0.3712087399
105	0.3704810012
106	0.3698250149
107	0.369148501
108	0.3685186201
109	0.3677184252
110	0.3670681812
111	0.3665463493
112	0.3656874675
113	0.3651488171
114	0.3643812139
115	0.3635880261
116	0.3624417443
117	0.3617900076
118	0.3612467999
119	0.360176677
120	0.3595545093
121	0.3589769712
122	0.3578791799
123	0.3570891175
124	0.356124041
125	0.3554375214
126	0.3548393082
127	0.3543120151
128	0.3535875416
129	0.3524495387
130	0.351581267
131	0.3506151143
132	0.3500781359
133	0.3494497476
134	0.3488847232
135	0.3484283018
136	0.3479295186
137	0.3472993196
138	0.3468838637
139	0.3462918995
140	0.3453415416
141	0.344730509
142	0.3439437325
143	0.3432672974
144	0.342550093
145	0.3419210657
146	0.3414222369
147	0.3410324449
148	0.3404704368
149	0.3399943813
150	0.3394993032
151	0.3389765768
152	0.3379672809
153	0.3372920726
154	0.3363447827
155	0.3358880717
156	0.3352527106
157	0.3343830173
158	0.3339210677
159	0.3334029716
160	0.3327914989
161	0.3325206575
162	0.3320412926
163	0.3314554712
164	0.3307162564
165	0.3303742537
166	0.3298394393
167	0.3294655791
168	0.3291442898
169	0.3284330666
170	0.3280214367
171	0.3275386019
172	0.3270381342
173	0.3265839609
174	0.326246829
175	0.3257195083
176	0.3251370025
177	0.3245039599
178	0.3241996811
179	0.323791006
180	0.3232643044
181	0.3226997947
182	0.3221702215
183	0.3217978357
184	0.3214430484
185	0.3208676032
186	0.3202764511
187	0.3194748212
188	0.3189825208
189	0.3185538943
190	0.3182478005
191	0.3177248857
192	0.317179709
193	0.3166701782
194	0.3159508056
195	0.3154603106
196	0.3151256043
197	0.3143041099
198	0.3139032332
199	0.3134703575
200	0.3131760533
201	0.3120145538
202	0.3115914714
203	0.3112676723
204	0.3108402729
205	0.3103905897
206	0.3098689947
207	0.3095598286
208	0.3092649409
209	0.3087428676
210	0.3082865569
211	0.3077779513
212	0.3073184601
213	0.3070328998
214	0.3065818653
215	0.3061389365
216	0.3052055448
217	0.3049503799
218	0.3044898754
219	0.3040863035
220	0.3035488305
221	0.3031570048
222	0.3028488774
223	0.3026065716
224	0.3022497237
225	0.3017663417
226	0.3011663516
227	0.3008456151
228	0.300077994
229	0.2995463536
230	0.2991850084
231	0.2988517914
232	0.2983746439
233	0.297766187
234	0.2975093954
235	0.2972172857
236	0.2968292865
237	0.2961819878
238	0.2955060789
239	0.2952326521
240	0.295011418
241	0.2946662047
242	0.2944820196
243	0.2940403011
244	0.2937505666
245	0.2933716261
246	0.2929753307
247	0.2927690096
248	0.2922927077
249	0.291982054
250	0.291583998
251	0.2911680534
252	0.2908019063
253	0.2905150276
254	0.2900501795
255	0.2896752
256	0.2893045413
257	0.2890397313
258	0.2887776507
259	0.2884179751
260	0.2877362575
261	0.2873741511
262	0.2871798591
263	0.2868572242
264	0.2865013778
265	0.2862855275
266	0.2859477268
267	0.2856524089
268	0.2854140825
269	0.284968552
270	0.2845078556
271	0.2840801349
272	0.2837678344
273	0.2835382244
274	0.2827513146
275	0.2823884167
276	0.2820321546
277	0.2818694942
278	0.2815473124
279	0.2811238459
280	0.280857014
281	0.2805423413
282	0.2800930464
283	0.2797739185
284	0.2793954155
285	0.2788384644
286	0.2785042547
287	0.277968101
288	0.2777768394
289	0.2775254626
290	0.2770411217
291	0.2767675606
292	0.2764935707
293	0.2759357307
294	0.2756990902
295	0.2754622667
296	0.2751394417
297	0.27474881
298	0.2743007819
299	0.274076328
300	0.2734230138
301	0.2729763255
302	0.2726276152
303	0.2722173569
304	0.2719351394
305	0.2715537605
306	0.2713080334
307	0.2709711525
308	0.2706762477
309	0.2704016313
310	0.2699742253
311	0.2695513724
312	0.2692904625
313	0.2687847066
314	0.2684214274
315	0.2681149879
316	0.267644747
317	0.2672627769
318	0.2669150098
319	0.2664848576
320	0.2661484096
321	0.2657816321
322	0.265485809
323	0.2651607679
324	0.264891332
325	0.2646231997
326	0.2642173278
327	0.263820611
328	0.2634718686
329	0.2631562569
330	0.2629385621
331	0.262435875
332	0.2619619684
333	0.2615952221
334	0.2612496669
335	0.2609567667
336	0.2606513749
337	0.2604468957
338	0.2601336806
339	0.2597732053
340	0.2593539267
341	0.2590607747
342	0.2587046113
343	0.2583178515
344	0.2581207014
345	0.2579162008
346	0.257480858
347	0.2571422254
348	0.2566989392
349	0.256451184
350	0.2561508554
351	0.2557194048
352	0.255523856
353	0.2552498437
354	0.2550186481
355	0.2546848748
356	0.2543062554
357	0.2540833393
358	0.2537648277
359	0.2535049674
360	0.2531597552
361	0.2529728515
362	0.2526509859
363	0.2524222361
364	0.2521626268
365	0.251801365
366	0.2514802825
367	0.2512574299
368	0.2509885945
369	0.2506336355
370	0.2502127667
371	0.2498541152
372	0.2496030037
373	0.2493468181
374	0.2490154703
375	0.248820849
376	0.2486184075
377	0.2483651644
378	0.2479608748
379	0.2477278009
380	0.2473056226
381	0.2469460663
382	0.2467619224
383	0.2464463756
384	0.2460724297
385	0.2457628646
386	0.2454295785
387	0.2449911911
388	0.2447070112
389	0.2444624906
390	0.244115072
391	0.2438373945
392	0.2436468681
393	0.2434275942
394	0.2431709765
395	0.2428193649
396	0.2423776427
397	0.2422064596
398	0.2418685296
399	0.2417020022
400	0.241423473
401	0.2412460689
402	0.2409234552
403	0.240659181
404	0.2404321276
405	0.2400589271
406	0.2397943346
407	0.2395146489
408	0.2392771243
409	0.2390339217
410	0.238832182
411	0.2384835097
412	0.2382851892
413	0.2380638322
414	0.2378710874
415	0.23757984
416	0.237350826
417	0.2370958374
418	0.2368453463
419	0.2365738291
420	0.2362924682
421	0.2361336213
422	0.2358244341
423	0.2356452798
424	0.2354343233
425	0.2351021618
426	0.234781155
427	0.2344960236
428	0.2342701301
429	0.2339821199
430	0.2337093614
431	0.2334052791
432	0.2332332859
433	0.2329531619
434	0.2326962768
435	0.2324360759
436	0.2321585525
437	0.2319661247
438	0.2317157306
439	0.2314852622
440	0.2312615674
441	0.2309821145
442	0.2307067075
443	0.2303994333
444	0.2302328159
445	0.2300331897
446	0.2298650941
447	0.2296256774
448	0.229335586
449	0.2291278814
450	0.2289398745
451	0.2287242775
452	0.2284330691
453	0.2282164808
454	0.2279793531
455	0.2277350683
456	0.2274973599
457	0.2273238188
458	0.227148851
459	0.2269618639
460	0.226750507
461	0.2264880764
462	0.2261991273
463	0.2258966637
464	0.2256510227
465	0.2254730875
466	0.2251564218
467	0.2250157445
468	0.2248368628
469	0.2246591019
470	0.2244590213
471	0.2242945734
472	0.2241417806
473	0.2239644891
474	0.2237559087
